iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
78,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
79,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
80,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
81,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
82,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
83,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
84,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
85,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
86,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
87,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
88,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
89,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
90,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
91,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
92,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
93,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
94,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
95,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
96,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
97,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
98,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
99,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
100,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
101,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
102,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
103,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
104,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
105,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
106,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
107,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
108,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
109,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
110,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
111,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
112,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
113,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
114,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
115,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
116,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
117,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
118,1.0,0.0,1.0,0.0,0.011055726631148831,0.012268840143109487,0.0008246383648659022,7.433106779037358e-05
119,1.0,0.0,1.0,0.0,0.011055726631148831,0.012268840143109487,0.0008246383648659022,7.433106779037358e-05
120,1.0,0.0,1.0,0.0,0.011055726631148831,0.012268840143109487,0.0008246383648659022,7.433106779037358e-05
121,1.0,0.0,1.0,0.0,0.011055726631148831,0.012268840143109487,0.0008246383648659022,7.433106779037358e-05
122,1.0,0.0,1.0,0.0,0.011055726631148831,0.012268840143109487,0.0008246383648659022,7.433106779037358e-05
123,1.0,0.0,1.0,0.0,0.011055726631148831,0.012268840143109487,0.0008246383648659022,7.433106779037358e-05
